state,academic_year,tuition
Texas,2005-06,6577.030655066529
Texas,2006-07,7018.890368550368
Texas,2007-08,7389.910225636102
Texas,2008-09,7506.8967012783905
Texas,2009-10,8120.958398149997
Texas,2010-11,8477.262963795405
Texas,2011-12,8506.832721027611
Texas,2012-13,8691.812347230953
Texas,2013-14,8705.02033153768
Texas,2014-15,8852.042784493227
Texas,2015-16,9116.732642680614
Utah,2004-05,4125.412861668427
Utah,2005-06,4376.137574206755
Utah,2006-07,4475.20228009828
Utah,2007-08,4650.487690830533
Utah,2008-09,4638.240121110727
Utah,2009-10,5067.841533124992
Utah,2010-11,5381.485631458963
Utah,2011-12,5598.6853869919705
Utah,2012-13,5845.931315035966
Utah,2013-14,6041.942032802137
Utah,2014-15,6171.257824862634
Utah,2015-16,6362.682377404262
Vermont,2004-05,11067.043727560716
Vermont,2005-06,11295.14939611054
Vermont,2006-07,11472.983203931204
Vermont,2007-08,12012.900576092175
Vermont,2008-09,12304.627184448364
Vermont,2009-10,13316.24401094028
Vermont,2010-11,13655.136649068167
Vermont,2011-12,13832.978328803745
Vermont,2012-13,14088.777803966757
Vermont,2013-14,14266.88991702877
Vermont,2014-15,14501.02215526501
Vermont,2015-16,14993.026532856751
Virginia,2004-05,7029.834561774022
Virginia,2005-06,7356.259170931422
Virginia,2006-07,7688.528864864865
Virginia,2007-08,8029.2233893422945
Virginia,2008-09,8225.145814769689
Virginia,2009-10,8794.749706293447
Virginia,2010-11,9643.105558893818
Virginia,2011-12,10072.351917918573
Virginia,2012-13,10313.714531391857
Virginia,2013-14,10590.452593366324
Virginia,2014-15,11202.400339438245
Virginia,2015-16,11818.692852673435
Washington,2004-05,6191.89945089757
Washington,2005-06,6414.589600818833
Washington,2006-07,6649.475085995086
Washington,2007-08,6858.294978396543
Washington,2008-09,6979.602034878434
Washington,2009-10,8113.20093243124
Washington,2010-11,8973.15657466825
Washington,2011-12,10029.041332849389
Washington,2012-13,11036.643314826455
Washington,2013-14,11045.088075138272
Washington,2014-15,10703.37150223617
Washington,2015-16,10288.352635518957
West Virginia,2004-05,4575.2517106652585
West Virginia,2005-06,4727.889631525076
West Virginia,2006-07,4885.663705159705
West Virginia,2007-08,5048.053403744599
West Virginia,2008-09,5106.946491244022
West Virginia,2009-10,5518.882754201281
West Virginia,2010-11,5720.838875102632
West Virginia,2011-12,5847.985340073122
West Virginia,2012-13,6130.311081430267
West Virginia,2013-14,6388.324627540378
West Virginia,2014-15,6697.95528203736
West Virginia,2015-16,7171.450966340447
Wisconsin,2004-05,6574.955501583949
Wisconsin,2005-06,6871.378730808597
Wisconsin,2006-07,7085.736943488943
Wisconsin,2007-08,7347.518492558809
Wisconsin,2008-09,7373.445582004328
Wisconsin,2009-10,7944.753105395378
Wisconsin,2010-11,8441.138263665594
Wisconsin,2011-12,8658.947946636448
Wisconsin,2012-13,9052.235054822264
Wisconsin,2013-14,8930.733966615546
Wisconsin,2014-15,8785.102914348789
Wisconsin,2015-16,8815.260667850567
Wyoming,2004-05,4086.351224920802
Wyoming,2005-06,4188.047932446264
Wyoming,2006-07,4122.205454545455
Wyoming,2007-08,4071.8978204512723
Wyoming,2008-09,3928.6707552144894
Wyoming,2009-10,4129.188181155417
Wyoming,2010-11,4298.839315447386
Wyoming,2011-12,4357.467400253185
Wyoming,2012-13,4456.32469097004
Wyoming,2013-14,4499.358790390246
Wyoming,2014-15,4653.877969772742
Wyoming,2015-16,4890.999758220503
